2	0.0281398	0.00178707
1.95	0.0288164	0.00151082
1.9	0.0277156	0.001625
1.85	0.0303092	0.00148139
1.8	0.0351998	0.00149247
1.75	0.033618	0.00145274
1.7	0.0350594	0.00187793
1.65	0.0425108	0.00146423
1.6	0.0385996	0.00211673
1.55	0.0496474	0.00198872
1.5	0.0487802	0.00239879
1.45	0.0551088	0.002833
1.4	0.0601198	0.00233495
1.35	0.0701532	0.00342846
1.3	0.0702058	0.00299308
1.25	0.0718374	0.0028105
1.2	0.0886196	0.00316767
1.15	0.0931558	0.00417304
1.1	0.107382	0.00465612
1.05	0.13055	0.00631046
1	0.139788	0.00713073
0.95	0.180684	0.0076958
0.9	0.206912	0.0102791
0.85	0.250977	0.0083644
0.8	0.299653	0.00764572
0.75	0.351731	0.0154563
0.7	0.453443	0.0180449
0.65	0.554122	0.0237246
0.6	0.6758	0.0215833
0.55	0.815839	0.0219789
0.5	0.906317	0.0197737
