2	-0.461816	0.000345315	0.197827	0.00077205	1.34479	0.00546202
1.95	-0.47228	0.000322408	0.204223	0.000634003	1.42156	0.00926217
1.9	-0.482567	0.000354277	0.212074	0.000615664	1.52095	0.0126588
1.85	-0.493592	0.000461382	0.218891	0.000714433	1.59475	0.014133
1.8	-0.504457	0.000358421	0.23029	0.000809413	1.70568	0.00970843
1.75	-0.516514	0.000364467	0.238931	0.000911745	1.79208	0.0115539
1.7	-0.529388	0.000432465	0.248411	0.00069527	1.91921	0.0101399
1.65	-0.540638	0.000551991	0.259492	0.00125398	2.02885	0.00954631
1.6	-0.554724	0.000408501	0.269044	0.00096267	2.16952	0.015646
1.55	-0.569044	0.000541898	0.281756	0.00069715	2.33358	0.0186682
1.5	-0.582609	0.000435947	0.29382	0.00111655	2.52557	0.015297
1.45	-0.597993	0.000454072	0.304486	0.0012794	2.76001	0.0231773
1.4	-0.612782	0.000390447	0.319903	0.00161809	2.94695	0.0203404
1.35	-0.629826	0.000515742	0.330787	0.00146896	3.27864	0.0287863
1.3	-0.646188	0.000446537	0.343346	0.00155021	3.61379	0.0228731
1.25	-0.66403	0.000492847	0.359018	0.00198737	3.98569	0.0281551
1.2	-0.682055	0.000517258	0.370522	0.00227839	4.36756	0.0526737
1.15	-0.70077	0.000458305	0.382565	0.00184675	5.00575	0.0537904
1.1	-0.720526	0.000598473	0.395038	0.00214143	5.51424	0.0653955
1.05	-0.740507	0.000534924	0.409617	0.0024957	6.53029	0.0832799
1	-0.761067	0.000857858	0.415022	0.00254741	7.29058	0.119262
0.95	-0.78298	0.000695143	0.432248	0.00244065	8.76372	0.111396
0.9	-0.804402	0.000618941	0.444351	0.00404697	10.3483	0.206106
0.85	-0.82643	0.000635688	0.432762	0.00299891	12.3708	0.174956
0.8	-0.849046	0.00078523	0.437481	0.00419846	15.2038	0.360988
0.75	-0.869911	0.001115	0.432845	0.00481157	19.1327	0.504768
0.7	-0.894023	0.000878096	0.436118	0.00737948	25.6283	0.50701
0.65	-0.912667	0.00112239	0.421826	0.00627686	32.2397	0.79397
0.6	-0.935888	0.00122741	0.416661	0.00634413	44.853	0.939183
0.55	-0.95615	0.00141203	0.389748	0.00797063	59.8335	1.28051
0.5	-0.973281	0.00159902	0.331457	0.0139503	78.5608	1.55577
