1	0
1.98048	0.12326
2.94628	0.209943
3.97423	0.297643
4.96007	0.384478
5.9825	0.467427
7.00977	0.557142
8.03809	0.640297
9.09567	0.729582
10.0403	0.811838
10.995	0.89142
12.0252	0.982945
13.0545	1.07441
14.0418	1.17065
15.0792	1.26687
16.0566	1.34535
17.0721	1.44041
18.0151	1.53052
19.0551	1.61449
20.0954	1.70126
21.0828	1.78693
22.0918	1.87823
23.0713	1.95405
24.1431	2.04424
25.0884	2.12505
26.0309	2.20383
27.0981	2.31529
28.1025	2.40266
29.0675	2.47226
30.0388	2.53635
30.9742	2.60958
32.0904	2.71533
33.1612	2.79319
34.1252	2.87969
35.1727	2.97778
36.2094	3.07839
37.2957	3.14198
38.2398	3.24994
39.1457	3.33125
40.1446	3.42983
41.0167	3.50031
42.2423	3.59732
43.1752	3.67376
44.2726	3.77343
45.1939	3.83744
46.1471	3.90207
47.0932	3.97733
48.0073	4.04999
49.0261	4.12944
50.0089	4.21182
51.1848	4.32504
52.2213	4.42442
53.0595	4.50564
53.9684	4.60167
54.9417	4.66808
55.8333	4.75633
56.7862	4.82762
57.7024	4.92461
58.6048	5.00649
59.7416	5.09622
60.6597	5.16185
61.7305	5.26053
62.7734	5.34715
63.7044	5.41704
64.7595	5.50896
65.869	5.59991
66.9528	5.6859
67.9369	5.78718
69.0897	5.90829
70.246	6.02127
71.1496	6.11167
71.9988	6.17993
72.976	6.24808
73.8577	6.32135
74.9159	6.39588
75.7914	6.48076
76.6266	6.57448
77.644	6.64481
78.6071	6.72611
79.6461	6.84092
80.4623	6.90829
81.4536	6.96343
82.3081	6.9947
83.168	7.09406
84.1691	7.16742
85.1452	7.26289
86.1164	7.31723
87.3	7.43315
88.2082	7.51383
89.1342	7.60893
89.9956	7.69062
90.9232	7.7467
91.9528	7.83637
92.9663	7.90915
93.9392	7.98486
94.9294	8.08164
96.0336	8.18597
96.9804	8.25396
97.9132	8.31336
98.9238	8.38663
