0.805694	-0.592332	1
0.818311	-0.574776	16
0.979046	-0.20364	23
0.872804	0.488072	30
0.823509	0.567303	14
0.359106	0.933297	4
0.221608	0.975136	20
-0.0264456	0.99965	10
-0.303551	0.952815	2
-0.315199	0.949025	13
-0.356693	0.934222	5
-0.6175	0.786571	29
-0.903192	0.429237	19
-0.976971	0.213373	6
-0.9791	0.203379	7
-0.985476	0.169817	8
-0.992181	0.124805	27
-0.99464	-0.103397	21
-0.964167	-0.265295	11
-0.680449	-0.732796	12
-0.674648	-0.738139	24
-0.65912	-0.752038	31
-0.656377	-0.754433	9
-0.556762	-0.830672	28
-0.0373549	-0.999302	26
0.00390521	-0.999992	15
0.172529	-0.985004	25
0.372526	-0.928022	32
0.405775	-0.913973	18
0.443803	-0.896124	3
0.469007	-0.883195	17
0.481746	-0.876311	22
